blockfacename,paidparkingarea,avg_occupancy,peak_hour_occupancy,spaces,hours_over_target,hours_under_target,hours_on_target,mean_adjustment,max_adjustment,min_adjustment,peak_hour,primary_action,paidparkingsubarea,lat,lon,time_limit,n_meters
VIRGINIA ST BETWEEN 1ST AVE AND 2ND AVE,Belltown,0.562,0.733,12.0,0,10,2,-0.604,0.0,-1.75,19,decrease,South,47.611431675000006,-122.34216129,120.0,2
VIRGINIA ST BETWEEN 3RD AVE AND 4TH AVE,Belltown,0.389,0.603,9.0,0,12,0,-1.354,-0.25,-2.0,19,decrease,South,47.61280657,-122.34051486,120.0,1
VIRGINIA ST BETWEEN 4TH AVE AND 5TH AVE,Belltown,0.384,0.523,11.0,0,12,0,-1.375,-0.75,-2.0,12,decrease,South,47.61342699,-122.339577805,120.0,2
VIRGINIA ST BETWEEN 5TH AVE AND 6TH AVE,Belltown,0.254,0.434,9.0,0,12,0,-1.875,-1.25,-2.0,19,decrease,South,47.61411105,-122.33882237,120.0,1
VIRGINIA ST BETWEEN PIKE PL AND POST AL,Belltown,0.979,1.0,3.0,11,0,1,0.583,0.75,0.0,11,increase,South,47.61060651,-122.34332623,120.0,1
WALL ST BETWEEN 1ST AVE AND 2ND AVE,Belltown,0.54,0.674,17.0,0,12,0,-0.646,-0.25,-2.0,18,decrease,North,47.61503819,-122.34830399,240.0,2
WALL ST BETWEEN 2ND AVE AND 3RD AVE,Belltown,0.276,0.488,12.0,0,12,0,-1.75,-1.0,-2.0,19,decrease,North,47.615684735,-122.34746913,240.0,2
WALL ST BETWEEN 3RD AVE AND 4TH AVE,Belltown,0.21,0.45,9.0,0,12,0,-1.792,-1.0,-2.0,11,decrease,North,47.61641418,-122.34667276,240.0,1
WALL ST BETWEEN 4TH AVE AND 5TH AVE,Belltown,0.388,0.49,12.0,0,12,0,-1.396,-1.0,-2.0,13,decrease,North,47.6170263,-122.3457372,240.0,2
WALL ST BETWEEN ALASKAN WAY AND ELLIOTT AVE,Belltown,0.408,0.549,5.0,0,12,0,-1.271,-0.75,-2.0,13,decrease,North,47.61313015,-122.35088659,240.0,1
WALL ST BETWEEN ELLIOTT AVE AND WESTERN AVE,Belltown,0.407,0.553,10.0,0,12,0,-1.271,-0.5,-2.0,12,decrease,North,47.613715545,-122.35001453,240.0,2
WALL ST BETWEEN WESTERN AVE AND 1ST AVE,Belltown,0.325,0.486,13.0,0,12,0,-1.625,-1.0,-2.0,19,decrease,North,47.6143594,-122.349181425,240.0,2
WARREN PL BETWEEN 1ST AVE AND DENNY WAY,Belltown,0.291,0.523,10.0,0,12,0,-1.729,-0.75,-2.0,19,decrease,North,47.618289695,-122.35415002,240.0,2
WESTERN AVE BETWEEN BATTERY ST AND WALL ST,Belltown,0.512,0.642,13.0,0,12,0,-0.792,-0.25,-2.0,14,decrease,North,47.613748,-122.34914257,240.0,2
WESTERN AVE BETWEEN BAY ST AND QUEEN ANNE AVE,Belltown,0.603,0.814,4.0,0,8,4,-0.521,0.0,-2.0,10,decrease,North,47.61810239,-122.35633431,240.0,1
