paidparkingarea,hour_of_day,avg_occupancy,occupied_space_hours,target_space_hours,unsold_space_hours,spaces,n_blockfaces,revenue_per_posted_dollar
First Hill,16,0.1533,1.3345341125163075,7.974552067684036,6.644642005012274,9.968190084605045,90,1.33
First Hill,17,0.142,1.24101018236218,7.9775592077672375,6.741051988676101,9.971949009709045,90,1.24
First Hill,18,0.1774,1.5659502422496985,7.979495293093902,6.425660590933149,9.974369116367376,90,1.57
First Hill,19,0.206,1.821670242090338,7.9800522110592516,6.181149615887793,9.975065263824064,90,1.82
Fremont,8,0.0791,0.6896139422822148,8.158554729011689,7.469263391860794,10.198193411264612,6,0.69
Fremont,9,0.178,1.5765386798813104,8.150185400995868,6.57520261039955,10.187731751244835,6,1.58
Fremont,10,0.282,2.64916544695045,8.149745762711865,5.510800324184019,10.187182203389831,6,2.65
Fremont,11,0.4187,4.082081979198171,8.149036221139589,4.100012335935404,10.186295276424486,6,4.08
Fremont,12,0.5424,5.336293744350101,8.14736396358247,2.9153990364528726,10.184204954478085,6,5.34
Fremont,13,0.5481,5.430476786141234,8.14736396358247,2.8091676486006314,10.184204954478085,6,5.43
Fremont,14,0.5123,5.020521036372836,8.146655376799323,3.1898647789784955,10.183319220999154,6,5.02
Fremont,15,0.4751,4.651158235241738,8.145824071133694,3.5328640038603822,10.182280088917116,6,4.65
Fremont,16,0.4916,4.794593553308869,8.145708540586305,3.4010224475902455,10.182135675732882,6,4.79
Fremont,17,0.5184,5.0587487150968125,8.146378653113088,3.1501220142285704,10.18297331639136,6,5.06
Fremont,18,0.5538,5.365862496996797,8.14354633939907,2.8691929918716683,10.179432924248836,6,5.37
Fremont,19,0.5723,5.416374784855774,8.14354633939907,2.871833813404538,10.179432924248836,6,5.42
Green Lake,8,0.2348,2.06642100452657,6.58686797752809,4.52427243953427,8.233584971910112,21,2.07
Green Lake,9,0.4507,3.763540756913306,6.586145212206244,2.903956918783912,8.232681515257804,21,3.76
Green Lake,10,0.5811,4.768416655255241,6.586169699627275,2.0191202507316564,8.232712124534093,21,4.77
Green Lake,11,0.5753,4.68270732640623,6.586029379522034,2.0921513499531397,8.232536724402543,21,4.68
Green Lake,12,0.592,4.86439422523871,6.585951065509077,1.9358041714025702,8.232438831886345,21,4.86
Green Lake,13,0.5675,4.613961371435019,6.585732450563424,2.161706550733319,8.23216556320428,21,4.61
Green Lake,14,0.5398,4.406551738787739,6.585732450563424,2.334467220544049,8.23216556320428,21,4.41
Green Lake,15,0.5313,4.405827546098981,6.585513854787793,2.3235623025535785,8.231892318484743,21,4.41
Green Lake,16,0.5679,4.846922082912327,6.585349173644294,1.9563318999566486,8.231686467055368,21,4.85
Green Lake,17,0.5827,5.012830656941763,6.584793475401211,1.8435516581825115,8.230991844251513,21,5.01
Green Lake,18,0.6188,5.322574448479712,6.584882497369344,1.6296264114332026,8.23110312171168,21,5.32
Green Lake,19,0.5857,5.091436842277871,6.584882497369344,1.8164346512575724,8.23110312171168,21,5.09
Pike-Pine,8,0.1467,1.3883147018499267,7.896561158545215,6.510625970831353,9.870701448181517,57,1.39
Pike-Pine,9,0.2549,2.4074413304682394,7.767930215564487,5.3754752300226665,9.709912769455608,57,2.41
Pike-Pine,10,0.3351,3.196626034149707,7.767214125112706,4.610527676196197,9.709017656390882,57,3.2
Pike-Pine,11,0.3967,3.771128478557202,7.766803615447823,4.064979508264597,9.708504519309779,57,3.77
Pike-Pine,12,0.4519,4.301796959748124,7.766655636317994,3.579525016367787,9.708319545397492,57,4.3
Pike-Pine,13,0.4529,4.318087456839352,7.767293473299864,3.564407513919538,9.709116841624828,57,4.32
Pike-Pine,14,0.4297,4.073185606122317,7.767060300074163,3.7898389237038077,9.708825375092703,57,4.07
Pike-Pine,15,0.4156,3.9219442681825685,7.814539088773207,3.9794069681034907,9.768173860966508,57,3.92
Pike-Pine,16,0.4301,4.063794870131657,7.823154010263507,3.860164941897607,9.778942512829383,57,4.06
Pike-Pine,17,0.4979,4.744153492698533,7.823284132841329,3.2460450616218903,9.77910516605166,57,4.74
Pike-Pine,18,0.584,5.576729008527138,7.822903579044436,2.568775306789563,9.778629473805545,57,5.58
Pike-Pine,19,0.6187,5.894400320494262,7.7636744737081935,2.284403626698293,9.70459309213524,57,5.89
Pioneer Square,8,0.2351,2.505972330360196,8.448742830345227,5.953696841902587,10.560928537931533,49,2.51
Pioneer Square,9,0.3667,3.7693272037850303,8.111908316078395,4.404074680566413,10.139885395097991,49,3.77
Pioneer Square,10,0.4481,4.525877120719201,8.110424053780866,3.6557633853788456,10.138030067226081,49,4.53
Pioneer Square,11,0.5021,5.118435542596878,8.107783586158238,3.1076901579745857,10.134729482697796,49,5.12
Pioneer Square,12,0.5167,5.294618719095066,8.10772609943405,2.944177973684977,10.134657624292563,49,5.29
Pioneer Square,13,0.5156,5.2689719449753465,8.107777403684286,2.9664177472243445,10.134721754605359,49,5.27
Pioneer Square,14,0.472,4.85740684506516,8.108328255780394,3.3401341740980133,10.13541031972549,49,4.86
Pioneer Square,15,0.4525,4.784160801064007,8.429852186197154,3.716753479378125,10.537315232746442,49,4.78
